id,level_id,"display_name","field",is_tag,is_value,in_library,is_del,"created_at","updated_at"
162,6,"总输出电流B","i_b",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
163,6,"总输出电流C","i_c",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
164,6,"总无功功率","reactive_power_all",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
165,6,"电网线电压AB","u_ab",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
166,6,"电网线电压BC","u_bc",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
167,6,"电网线电压CA","u_ca",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
168,6,"实时总有功功率","active_power_all",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
169,6," 节约标煤","carbon_save",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
170,6,"CO2减排量","co2_redution",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
171,6,"日预测发电量","energy_forecast_day",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
172,6,"月预测发电量","energy_forecast_month",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
173,6,"年预测发电量","energy_forecast_year",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
174,6,"累计发电量","energy_sum_all",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
175,6,"日发电量","energy_sum_day",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
176,6,"月发电量","energy_sum_month",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
177,6,"年发电量","energy_sum_year",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
178,6,"实体编号","id",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
179,6,"名称","name",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
180,6,"NO2减排量","no2_redution",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
181,6,"颗粒物减排量","pms_redution",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
182,6,"实时总无功功率","reactive_power_al",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
183,6,"SO2减排量","so2_redution",0,1,0,0,"2017-04-11 17:59:41","2017-04-11 17:59:41"
184,5,"编号","id",0,1,0,0,"2017-04-11 18:02:30","2017-04-11 18:02:30"
185,5,"所属区域","area",0,1,0,0,"2017-04-11 18:02:30","2017-04-11 18:02:30"
186,5,"所属项目","project_name",0,1,0,0,"2017-04-11 18:02:30","2017-04-11 18:02:30"
187,5,"输出累计电量","energy_sum_all",0,1,0,0,"2017-04-11 18:02:30","2017-04-11 18:02:30"
188,5,"输入累计电量","energy_sum_all_in",0,1,0,0,"2017-04-11 18:02:30","2017-04-11 18:02:30"
189,5,"年发电量","energy_sum_year",0,1,0,0,"2017-04-11 18:02:30","2017-04-11 18:02:30"
